구분,유저,내용
정책,서울에 거주하는 청년의 주거비 부담완화와 안정적 주거환경 마련을위한 서울시의 청년주거복지사업입니다.,"청년월세지원.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_060513"
정책,주택 수리를 통하여 저소득 주거취약가구의 열악한 주거환경을 개선하여 주택 에너지 효율을 개선하고 삶의 질을 향상하기 위한 사업입니다.,"희망의 집수리 사업.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_070701"
정책,주거급여 수급자 가구 중 타인에 주택 등에 거주하면서 임대차 계약(전대차 계약 포함)을 체결하고 이에 따라 임차료를 지불하고 있는 사람에게 일정한 임차급여를 지원하여 주거안정에 기여하는 제도입니다.,"주거급여 수급자 지원(임차급여).
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_061021"
정책,쪽방 및 사회복지시설 퇴거자의 임대료 지원을 위해 민간임대주택으로 이주한 가구의 초기 주거 안정 및 정착을 돕기 위하여 임대료 일부를 지원하는 사업입니다.,"서울형 주택바우처(특정바우처).
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_061024"
정책,"저소득 서민의 주거비 부담 완화를 위해 민간월세로 거주하는 저소득 서민의 주거비 부담을 최소화하고, 주거 취약계층의 주거안정을 도모하기 위해 서울형 주택 바우처(임대료 보조지원)을 지원합니다.","서울형 주택바우처(일반바우처).
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh_061010"
정책,"주거급여 수급자 가구 중 주택을 소유한 가구에 대하여 주택 노후도 등 주택 상태를 종합 점검하여 보수 범위를 경, 중. 대보수로 차등 적용하여 최저주거기준 보장을 강화할 뿐 아니라 양질의 주택재고 확보에도 기여하는 제도입니다.","주거급여 수급자 지원(수선유지급여).
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_080200"
정책,"자립기반이 취약한 청년을 위해 제공되는 공공주택으로 만19세 ~ 만35세 이하인 청년, 1인 직장인 및 입주자모집공고 연도의 대학교 졸업예정자를 대상으로 공급하는 공공주택입니다.","청년협동조합주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_050603"
정책,공동의 육아를 목적으로 하는 입주자를 위해 육아 전용 협동조합형 임대주택으로 조합원의 주거커뮤니티를 강조하는 임대주택입니다.,"육아협동조합주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_050602"
정책,문화예술 활동을 공동의 목적으로 하는 입주자들을 위해 공공임대주택을 최소비용으로 공급해 예술인들의 성장기반을 일구고 창업에 성공할 수 있도록 든든하게 지원합니다.,"예술인 협동조합주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_050601"
정책,독립적 사무공간을 확보하지 못한 1인 창조기업인을 위해 원룸형 공공임대주택을 최소비용으로 공급해 기업의 성장기반을 일구고 창업에 성공할 수 있도록 든든하게 지원합니다.,"1인창조기업인 원룸 주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_050500"
정책,청년의 주거안정을 위해 통학 및 출근이 용이한 역세권에 청년 임대주택을 공급하는 사업입니다.,"청년안심주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_060502"
정책,"무이자로 보증금지원을 원하는 세입자를 위해 전세보증금의 30%(최대 4,500만원까지)를 서울시에서 무이자로 최장 10년까지 지원하는 임대주택입니다.","보증금지원형 장기안심주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_031100"
정책,"보증금이 부족한 최저주거취약계층을 위해 서울주택도시공사, 한국토지공사가 최대 1억 2천만원까지 전세자금을 지원하고, 전세계약을 체결 후 최장 20년까지 지원하는 임대주택입니다.","기존주택 전세임대주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_031000"
정책,1인 임차가구의 안전하고 행복한 주거환경 조성을 위해 '신속생활불편처리·홈케어·클린케어' 서비스를 제공합니다.,"1인가구 주택관리서비스.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_061028"
정책,반지하 거주 가구의 주거 상향을 위해 반지하 거주 가구가 신속히 지상층으로 이주하여 주거 안정을 도모할 수 있도록 월세를 지원합니다.,"서울형 주택바우처 (반지하 거주가구 이주 지원).
바로가기링크:https://housing.seoul.go.kr/site/main/sh/restore/list"
정책,"늘어나는 1~2인 가구와 서민의 주거 안정을 위해 '국토의 계획 및 이용에 관한 법률'에 따라 300세대 미만의 국민주택 규모로 단지형 연립주택, 단지형 다세대주택, 원룸형을 지원합니다.","도시형생활주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_030800"
정책,"무주택 서울시민의 주거안정을 위해 전세보증금을 주변시세의 80퍼센트 이하로 공급하고, 최장 20년까지 이사 걱정없이 분양전환되지 않는 공공임대주택입니다.","장기전세 주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_030600"
정책,"대학생, 사회초년생, 신혼부부 등 젊은 계층의 거주비와 사회적 비용 절감으로 거주 불안을 해소할 수 있도록 대중교통이 편리하고, 직장(학교)와 집 간의 거리가가까운 부지를 활용해 저렴하게 공급합니다.","행복주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_030500"
정책,집 없는 서민들을 위해 생활편익시설이 잘 갖추어진 주택을 지어 최장 30년까지 저렴하게 임대합니다.,"국민임대주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_030300"
정책,"내 집 없는 무주택자를 위해 가구당 소득수준, 재산규모에 따라 다양한 공공임대주택을 지원하는 사업입니다.","공공임대주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_031200"
